============================================================
M3U8 CHANNEL STATUS REPORT
- zdfinfo - <https://viamotionhsi.netplus.ch/live/eds/zdfinfohd/browser-dash/zdfinfohd.mpd>
- zdfneo - <https://viamotionhsi.netplus.ch/live/eds/zdfneohd/browser-dash/zdfneohd.mpd>
- fuegotv - <https://video.misistemareseller.com/Fuegotv/Fuegotv/playlist.m3u8>
- cbc - <https://fl1002.bozztv.com/ga-cbc/index.m3u8>
- cbcdrama - <https://fl1002.bozztv.com/ga-cbcdrama/index.m3u8>
- cbcsofra - <https://bcovlive-a.akamaihd.net/753a1f2c951b4fb3914f30e1deb147d8/us-west-2/6057955906001/playlist.m3u8>
- 24horas - <https://d32rw80ytx9uxs.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-vlldndmow4yre/24HES.m3u8>
- clan - <https://dum8zv1rbdjj2.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-x6uutpgph4tpt/ClanES.m3u8>
- teledeporte - <https://d1cctoeg0n48w5.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-mnixw9wn5ugmv/TeledeporteES.m3u8>
- bfmtv - <https://viamotionhsi.netplus.ch/live/eds/bfmtv/browser-HLS8/bfmtv.m3u8>
- france24 - <https://viamotionhsi.netplus.ch/live/eds/france24/browser-HLS8/france24.m3u8>
- m6 - <https://viamotionhsi.netplus.ch/live/eds/m6hd/browser-dash/m6hd.mpd>
- tf1 - <https://viamotionhsi.netplus.ch/live/eds/tf1hd/browser-dash/tf1hd.mpd>
- tf1seriesfilms - <https://viamotionhsi.netplus.ch/live/eds/hd1/browser-dash/hd1.mpd>
- bbcone - <https://streamer.nexyl.uk/5c858268-a93b-45f8-9e82-41d66b526d6c.m3u8>
- bbctwo - <https://viamotionhsi.netplus.ch/live/eds/bbc2/browser-HLS8/bbc2.m3u8>
- bbearth - <https://livetv-fa.tubi.video/bbc-earth2/playlist.m3u8>
- cnbceurope - <https://viamotionhsi.netplus.ch/live/eds/cnbc/browser-HLS8/cnbc.m3u8>
- iranefardatv - <https://hls.iranfarda.live/hls/stream.m3u8>
- art - <https://hugh.cdn.rumble.cloud/live/k5e12sb4/slot-82/fdd0-tbln/chunklist_DVR.m3u8>
- ng - <https://live.streams.ovh/NGradio/NGradio/playlist.m3u8>
- trt - <https://www.hellasnet.tv/rest2.live.hn/u2r.trt/playlist.m3u8>
- atvspirit - <http://146.59.85.40:89/atvspirit/index.m3u8>
- rtlketto - <http://194.76.186.33:8000/play/a01z/index.m3u8>
- cnbctv18 - <https://d35j504z0x2vu2.cloudfront.net/v1/master/0bc8e8376bd8417a1b6761138aa41c26c7309312/cnbc-tv18/master.m3u8>
- e24 - <https://live-e24.dailyhunt.in/eternowsa/live/amlst:E24_,b256,b512,b1024,b1824,.smil/playlist.m3u8>
- vbcnews - <https://5a1178b42cc03.streamlock.net/8200/8200/playlist.m3u8>
- italia1 - <https://viamotionhsi.netplus.ch/live/eds/italia1/browser-dash/italia1.mpd>
- rai2 - <https://m3u.iranvids.com/rai02/output.m3u8>
- rai3 - <https://viamotionhsi.netplus.ch/live/eds/rai3/browser-dash/rai3.mpd>
- eacnewstv - <https://live-evg17.tv360.metfone.com.kh/LiveApp/streams/eacnews.m3u8>
- rtl9 - <https://viamotionhsi.netplus.ch/live/eds/rtl9/browser-dash/rtl9.mpd>
- medi1tvafrique - <https://streaming1.medi1tv.com/live/smil:medi1fr.smil/playlist.m3u8>
- medi1tvarabic - <https://streaming1.medi1tv.com/live/smil:medi1ar.smil/playlist.m3u8>
- medi1tvmaghreb - <https://streaming1.medi1tv.com/live/smil:medi1tv.smil/playlist.m3u8>
- monacoinfo - <https://webtv.monacoinfo.com/live/prod/index.m3u8>
- viaatv - <https://streamer01.myvideoplace.tv/streamer02/hls/ATV_DIRECT_EV_111018.m3u8>
- one - <http://80.79.6.221:25461/smash/public/21>
- tv2 - <https://d25tgymtnqzu8s.cloudfront.net/smil:tv2/manifest.mpd>
- omroeplingewaard - <https://58c04fb1d143f.streamlock.net/omroeplingewaard_1/omroeplingewaard_1/playlist.m3u8>
- atvplus - <https://alba-pe-atv-atvmas.stream.mediatiquestream.com/index.m3u8>
- atvsur - <https://alba-pe-atv-atvsur.stream.mediatiquestream.com/index.m3u8>
- vamisatv - <https://inliveserver.com:1936/10044/10044/playlist.m3u8>
- aljazeera - <https://d1cy85syyhvqz5.cloudfront.net/v1/master/7b67fbda7ab859400a821e9aa0deda20ab7ca3d2/aljazeeraLive/AJE/index.m3u8>
- aljazeeradocumentary - <https://live-hls-apps-ajd-fa.getaj.net/AJD/index.m3u8>
- ardealtv - <https://frn.rtsp.me/wzhx8pmNF7-kstp_J0AdjA/1695647213/hls/yZ9ED27Q.m3u8>
- etv - <https://cdn-01.bonus-tv.ru/gsl/playlist.m3u8>
- axnasia - <https://tv.ddns.vn/tv/axnhd/index.m3u8>
- atvalanya - <http://stream2.taksimbilisim.com:1935/alanyatv/alanyatv.smil/playlist.m3u8>
- atvavrupa - <http://185.234.111.229:8000/play/a018>
- dersim62tv - <http://live.arkumedia.com:1935/dersim62tv/dersim62tv/playlist.m3u8>
- ebcnews - <http://seb.sason.top/sc/dsxw_fhd.m3u8>
- z - <https://stream.ztv.zp.ua/hls/live.m3u8>
- abc - <https://livetv-fa.tubi.video/abc-news/index.m3u8>
- amc - <http://cors.tundracast.com:2000/https://streamer1.nexgen.bz/AMC/index.m3u8>
- cnbc - <https://fl4.moveonjoy.com/CNBC/index.m3u8>
- foxnewschannel - <http://23.237.104.106:8080/USA_FOX_NEWS/index.m3u8>
- foxsports2 - <http://23.237.104.106:8080/USA_FS2/index.m3u8>
- scrippsnews - <https://livetv-fa.tubi.video/kris/playlist.m3u8>
- telesur - <https://cdnesmain.telesur.ultrabase.net/mbliveMain/hd/playlist.m3u8>
 - <https://cdnesmain.telesur.ultrabase.net/mbliveMain/480p/playlist.m3u8>
 - <https://cdnesmain.telesur.ultrabase.net/mbliveMain/360p/playlist.m3u8>
- telesureng - <https://cdnenmain.telesur.ultrabase.net/mblivev3/hd/playlist.m3u8>
 - <https://cdnenmain.telesur.ultrabase.net/mblivev3/480p/playlist.m3u8>
 - <https://cdnenmain.telesur.ultrabase.net/mblivev3/360p/playlist.m3u8>
- globovision - <https://vcp5.myplaytv.com/globovision/globovision/playlist.m3u8>
- visionglobaltv - <https://vdopanel.jlahozconsulting.com:3407/hybrid/play.m3u8>
- kandelatv - <https://streamtv.intervenhosting.net:3718/live/kandelamedioslive.m3u8>

